date,jpy_to_inr
2026-05-08,0.602
2026-05-09,0.603
2026-05-10,0.603
2026-05-11,0.602
2026-05-12,0.606
2026-05-13,0.607
2026-05-14,0.606
2026-05-15,0.606
2026-05-16,0.605
2026-05-17,0.605
2026-05-18,0.604
2026-05-19,0.606
2026-05-20,0.607
2026-05-21,0.609
2026-05-22,0.605
2026-05-23,0.602
2026-05-24,0.602
2026-05-25,0.601
2026-05-27,0.601
2026-05-28,0.6
2026-05-29,0.601
2026-05-30,0.598
2026-05-31,0.598
2026-06-01,0.596
2026-06-02,0.595
2026-06-03,0.596
2026-06-04,0.598
2026-06-05,0.599
2026-06-06,0.594
2026-06-07,0.594
2026-06-08,0.593
2026-06-09,0.598
2026-06-10,0.595
2026-06-11,0.594
2026-06-12,0.597
2026-06-13,0.594
2026-06-14,0.594
2026-06-15,0.594
2026-06-16,0.591
2026-06-17,0.59
2026-06-18,0.589
2026-06-19,0.586
2026-06-20,0.585
2026-06-21,0.585
2026-06-22,0.585
2026-06-23,0.586
2026-06-24,0.587
2026-06-25,0.585
2026-06-26,0.583
2026-06-27,0.584
2026-06-28,0.584
2026-06-29,0.584
2026-06-30,0.584
2026-07-01,0.583
2026-07-02,0.585
2026-07-03,0.591
2026-07-04,0.591
